Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,MRP,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Breadth (product.metafields.custom.breadth),Dexterity (product.metafields.custom.dexterity),Gender (product.metafields.custom.gender),Grade (product.metafields.custom.grade),Height (product.metafields.custom.height),HSN Code (product.metafields.custom.hsn_code),Kit Options (product.metafields.custom.kit_options),Knob Adjuster (product.metafields.custom.knob_adjuster),Length (product.metafields.custom.length),Materials (product.metafields.custom.materials),Material Quality (product.metafields.custom.material_quality),Pack Size (product.metafields.custom.pack_size),Profile (product.metafields.custom.profile),Sizes (product.metafields.custom.sizes),Size Chart (product.metafields.custom.size_chart),Type (product.metafields.custom.type),Weight (product.metafields.custom.weight),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Autograph type (product.metafields.shopify.autograph-type),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Ball material (product.metafields.shopify.ball-material),Ball size (product.metafields.shopify.ball-size),Bat material (product.metafields.shopify.bat-material),Body area (product.metafields.shopify.body-area),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Cricket equipment included (product.metafields.shopify.cricket-equipment-included),Earplug use (product.metafields.shopify.earplug-use),Exercise equipment included (product.metafields.shopify.exercise-equipment-included),Eyewear frame color (product.metafields.shopify.eyewear-frame-color),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Hammer head material (product.metafields.shopify.hammer-head-material),Hand side (product.metafields.shopify.hand-side),Handle material (product.metafields.shopify.handle-material),Handwear material (product.metafields.shopify.handwear-material),Headwear features (product.metafields.shopify.headwear-features),Heel height type (product.metafields.shopify.heel-height-type),Ice pack type (product.metafields.shopify.ice-pack-type),Lens polarization (product.metafields.shopify.lens-polarization),Material (product.metafields.shopify.material),Occasion style (product.metafields.shopify.occasion-style),Racket balance (product.metafields.shopify.racket-balance),Racket head shape (product.metafields.shopify.racket-head-shape),Racket material (product.metafields.shopify.racket-material),Recommended skill level (product.metafields.shopify.recommended-skill-level),Resistance level (product.metafields.shopify.resistance-level),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Signature placement (product.metafields.shopify.signature-placement),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Spinner type (product.metafields.shopify.spinner-type),Suitcase handle type (product.metafields.shopify.suitcase-handle-type),Swing style (product.metafields.shopify.swing-style),Tape material (product.metafields.shopify.tape-material),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Toy/Game material (product.metafields.shopify.toy-game-material),Treatment objective (product.metafields.shopify.treatment-objective),Usage type (product.metafields.shopify.usage-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ss-cricket-balls0055-for-bowling-machine-big-dot-1,SS Cricket Balls0055 For Bowling Machine- Big Dot,,SS,Uncategorized,,,FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,370.5,,370.5,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
demo-product,Test Product,<p>Test Product</p>,SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,4305,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSKlaasenGladiatorKWCricketBat_1.png?v=1773317138,1,,FALSE,,,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,'5.0,,,grade-1,'20.0,3030303,,,'15.0,,,,,,,kashmir-willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
bowling-machine-balls,Bowling Machine Ball,,SS,Uncategorized,,,FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,370.5,,,TRUE,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,unlisted
ss-klaasen-gladiator-kw-cricket-bat,SS Klaasen Gladiator KW Cricket Bat,"<h4>SS Klaasen Gladiator Kashmir Willow Cricket Bat</h4>
<ul>
<li>Best Kashmir Willow Players Grade 1</li>
<li>Super best selection and grading.</li>
<li>Best Ping</li>
<li>Air Dried Willow</li>
<li>Designed as per specifications of World Top Players</li>
<li>Embossed Chrome Sticker with Superb Grip</li>
<li>Wide Playing Area</li>
<li>New Secular Profile</li>
<li>Premium/ Portable SS bat Cover</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,4305,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSKlaasenGladiatorKWCricketBat_1.png?v=1773317138,1,,FALSE,,,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,,,,grade-1,,95069920,,,,,,,,,,kashmir-willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-klaasen-player-kw-cricket-bat,SS Klaasen Player KW Cricket Bat,"<h4>SS Klaasen Player Kashmir Willow Cricket Bat</h4>
<ul>
<li>Best Kashmir Willow Players Grade 1</li>
<li>Super best selection and grading.</li>
<li>Best Ping</li>
<li>Air Dried Willow</li>
<li>Designed as per specifications of world Top Players</li>
<li>Embossed Chrome Sticker with Superb Grip</li>
<li>Wide Playing Area</li>
<li>New Secular Profile</li>
<li>Premium/ Portable SS bat Cover</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,5800,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSKlaasenPlayerKWCricketBat_1.png?v=1773318007,1,,FALSE,,,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,,,,grade-1,,95069920,,,,,,,,,,kashmir-willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-sky-striker-english-willow-cricket-bat,SS Sky Striker EW Cricket Bat,"<p><strong>SS Sky Striker English Willow Cricket Bat SH</strong></p>
<ul>
<li>Package contents: 1 Bat and 1 cover</li>
</ul>
<p>Product size:</p>
<ul>
<li>Height: 84.45 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1140 to 1200 grams</li>
<li>Hand Selected natural English Willow bat</li>
<li>Air Dried Willow</li>
<li>Grains sheet with side net taping</li>
<li>Rounded TOE / Flat TOE</li>
<li>Designed as per specifications of World Top Players</li>
<li>Latest Shape of Sky</li>
<li>Back side Full covered sticker</li>
<li>Edges 35-38 mm</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,4000,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSSkyStrikerEWCricketBat_1.png?v=1773316837,1,,FALSE,,,3815,,adult,,,,,,,,,'11.43,,unisex,,'84.45,9506.91,,,'3.8,,,,,,,english-willow,1140-to-1200-grams,,,,,,,,,,adults,,,,,,,wood,,,,geometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-tilak-verma-kw-cricket-bat-np,SS Tilak Verma KW Cricket Bat (NP),"<p><strong><span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out"">Tilak Verma NP Kashmir Willow Bat</span></strong></p>
<ul>
<li>
<span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out""><strong data-is-only-node="""" data-end=""17"" data-start=""0"">Willow Grade:</strong><span> </span>Grade 1 Kashmir Willow</span> <span data-state=""closed"" class=""""></span>
</li>
<li><span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out""><strong data-is-only-node="""" data-end=""17"" data-start=""0"">Weight Range:</strong><span> </span>Approx. 1140–1200 g</span></li>
<li>
<span data-state=""closed"" class=""""><span class=""ms-1 inline-flex max-w-full items-center relative top-[-0.094rem] animate-[show_150ms_ease-in]""><a class=""flex h-4.5 overflow-hidden rounded-xl px-2 text-[9px] font-medium text-token-text-secondary! bg-[#F4F4F4]! dark:bg-[#303030]! transition-colors duration-150 ease-in-out"" alt=""https://www.khelmart.com/ss-ton-super-kashmir-willow-cricket-bat?utm_source=chatgpt.com"" rel=""noopener"" href=""https://www.khelmart.com/ss-ton-super-kashmir-willow-cricket-bat?utm_source=chatgpt.com"" target=""_blank""><span class=""relative start-0 bottom-0 flex h-full w-full items-center""><span class=""flex h-4 w-full items-center justify-between absolute""><span class=""max-w-full grow truncate overflow-hidden text-center""></span></span></span></a></span></span><span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out""><strong data-is-only-node="""" data-end=""19"" data-start=""0"">Bat Dimensions:</strong><span> </span>Height ≈84.45 cm; Width ≈11.43 cm;<span> </span><span>Length </span>≈3.8 cm</span> <span data-state=""closed"" class=""""></span>
</li>
<li>
<span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out""><strong data-start=""0"" data-end=""15"" data-is-only-node="""">Sweet Spot:</strong><span> </span>Mid-to-low—comfortable for front- and back-foot play</span><span class="""" data-state=""closed""><span class=""ms-1 inline-flex max-w-full items-center relative top-[-0.094rem] animate-[show_150ms_ease-in]""><a href=""https://www.khelmart.com/ss-tilak-varma-kashmir-willow-cricket-bat?utm_source=chatgpt.com"" rel=""noopener"" alt=""https://www.khelmart.com/ss-tilak-varma-kashmir-willow-cricket-bat?utm_source=chatgpt.com"" class=""flex h-4.5 overflow-hidden rounded-xl px-2 text-[9px] font-medium text-token-text-secondary! bg-[#F4F4F4]! dark:bg-[#303030]! transition-colors duration-150 ease-in-out"" target=""_blank""><span class=""relative start-0 bottom-0 flex h-full w-full items-center""><span class=""flex h-4 w-full items-center justify-between""><span class=""max-w-full grow truncate overflow-hidden text-center""></span></span></span></a></span></span>
</li>
<li><span class=""relative -mx-px my-[-0.2rem] rounded px-px py-[0.2rem] transition-colors duration-100 ease-in-out""><strong data-is-only-node="""" data-end=""10"" data-start=""0"">Cover:</strong><span> </span>Included SS bat cover</span></li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,3000,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSTilakVermaKWCricketBat_NP__1.png?v=1773318159,1,,FALSE,SS Tilak Verma KW Cricket Bat (NP),,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,'11.43,,,grade-1,'84.45,95069920,,,'3.8,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-nicholas-pooran-kw-cricket-bat,SS Nicholas Pooran KW Cricket Bat,"<p><strong>SS Nicholas Pooran Kashmir Willow Cricket Bat</strong></p>
<ul>
<li>Package contents: 1 Bat and 1 Cover</li>
</ul>
<p>Product size:</p>
<ul>
<li>Height: 85 CM</li>
<li>Width: 11.43 CM</li>
<li>Length: 3.8 CM</li>
<li>Weight range: 1180 to 1200 grams</li>
<li>Kashmir Willow Grade 1</li>
<li>Air Dried Willow</li>
<li>Latest Shape With Massive concave Ton Edges enable high impact with optimum performance with latest sticker.</li>
<li> Wide Play area with Clean bat face and antiscuff covered Front.</li>
<li> Premium / Portable SS Bat cover</li>
<li> Handle – Round/Oval</li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Size,SH,,,,,,,,,0,shopify,deny,manual,5800,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSNicholasPooranKWCricketBat_1.png?v=1773319849,1,,FALSE,,,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,'11.43,,,grade-1,'85.0,95069920,,,'3.8,,,,,,,kashmir-willow,1140-to-1200-grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-281-kw-cricket-bat,SS 281 KW Cricket Bat,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Hand crafted kashmir willow</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Lightweight design, contoured edges</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Imported multi piece cane handle for outstanding feel, flex and control</span></li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Size,5,,,,,,,,,0,shopify,deny,manual,3130,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SS281KWCricketBat_1.png?v=1773319257,1,,FALSE,,,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,,,,,,95069920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
ss-dre-russell-kw-cricket-bat-players,SS Dre Russell KW Cricket Bat (Players),"<ul>
<li><span class=""a-list-item"">Designed for players who love to hit sixes, mimicking the explosive style of Dre Russell.</span></li>
<li><span class=""a-list-item"">Perfect for adult men playing professional or club-level cricket.</span></li>
<li><span class=""a-list-item"">Made from tough Kashmir Willow, capable of withstanding the impact of hard leather balls.</span></li>
<li><span class=""a-list-item"">Features concave edges that redistribute weight to the sweet spot, providing maximum power on off-center hits.</span></li>
<li><span class=""a-list-item"">Comes in attractive packaging with a cover, making it a great gift for cricket enthusiasts.</span></li>
</ul>",SS,Sporting Goods > Athletics > Cricket > Cricket Bats,Cricket Bats,,TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,5800,,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0905/4810/9602/files/SSDreRussellKWCricketBat_Players__1.png?v=1773318737,1,,FALSE,SS Dre Russell KW Cricket Bat (Players),,Sporting Goods > Athletics > Cricket > Cricket Bats,,,,new,,,,,,,,,,,,95069920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
