Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sg-tournament-abdominal-pad,SG Tournament Abdominal Pad,"<p>The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, making it easy to wear during long matches</p><p>High-impact resistant poly protector for secure groin protection.</p><p>High-impact resistant poly protector for enhanced safety.</p><p>Foam casing with cotton for enhanced comfort and durability</p><p>Slip-on design that easily fits into jock straps and briefs</p><p>Shaped to provide optimum protection during play</p><p>Available in adult, youth, and junior sizes to cater to all age groups</p><p>Contents : 1pc</p>",TeamSG,Cricket Protective Gear,Abdominal Pad,,,Size,Adult / White,,,,,SG01AB010002,,,,,,169.0,169.0,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_30ed9331-fada-4664-8b94-c39f5b614443.png?v=1752490622&width=1920,,,,SG Tournament Abdominal Pad,"The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, ",,,,,,,,,,,,169.0,169.0,,169.0,169.0,
sg-tournament-abdominal-pad,SG Tournament Abdominal Pad,"<p>The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, making it easy to wear during long matches</p><p>High-impact resistant poly protector for secure groin protection.</p><p>High-impact resistant poly protector for enhanced safety.</p><p>Foam casing with cotton for enhanced comfort and durability</p><p>Slip-on design that easily fits into jock straps and briefs</p><p>Shaped to provide optimum protection during play</p><p>Available in adult, youth, and junior sizes to cater to all age groups</p><p>Contents : 1pc</p>",TeamSG,Cricket Protective Gear,Abdominal Pad,,,Size,Youth / White,,,,,SG01AB010006,,,,,,159.0,159.0,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_30ed9331-fada-4664-8b94-c39f5b614443.png?v=1752490622&width=1920,,,,SG Tournament Abdominal Pad,"The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, ",,,,,,,,,,,,159.0,159.0,,159.0,159.0,
sg-tournament-abdominal-pad,SG Tournament Abdominal Pad,"<p>The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, making it easy to wear during long matches</p><p>High-impact resistant poly protector for secure groin protection.</p><p>High-impact resistant poly protector for enhanced safety.</p><p>Foam casing with cotton for enhanced comfort and durability</p><p>Slip-on design that easily fits into jock straps and briefs</p><p>Shaped to provide optimum protection during play</p><p>Available in adult, youth, and junior sizes to cater to all age groups</p><p>Contents : 1pc</p>",TeamSG,Cricket Protective Gear,Abdominal Pad,,,Size,Junior / White,,,,,SG01AB010007,,,,,,159.0,159.0,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_30ed9331-fada-4664-8b94-c39f5b614443.png?v=1752490622&width=1920,,,,SG Tournament Abdominal Pad,"The SG Tournament Abdominal Guard offers reliable groin protection for cricketers at all levels. Made with a high-impact resistant poly protector and cushioned with a foam casing stuffed with cotton, this guard ensures both safety and comfort. Its slip-on design allows it to fit seamlessly into jock straps and briefs, ",,,,,,,,,,,,159.0,159.0,,159.0,159.0,
sg-litevate-abdominal-pad,SG Litevate Abdominal Pad,"<p>The SG Litevate Abdominal Guard offers advanced groin protection with a unique design that includes rubber padding on the edges for enhanced safety. Built with a high-impact resistant poly protector, it ensures superior protection during intense play. This guard is shaped for optimal comfort and coverage, making it ideal for cricketers seeking both safety and performance.</p>",TeamSG,Protective Gear,Abdominal Guard,,,Size,Adult / White/Red,,,,,SG01AB010008,,,,,,229.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_20146b84-fd9d-4f90-a8dc-a70e4414c324.png?v=1752491367&width=1920,,,,SG Litevate Abdominal Pad,"The SG Litevate Abdominal Guard offers advanced groin protection with a unique design that includes rubber padding on the edges for enhanced safety. Built with a high-impact resistant poly protector, it ensures superior protection during intense play. This guard is shaped for optimal comfort and coverage, making it ideal for cricketers seeking both safety and performance.",,,,,,,,,,,,,,,,,
sg-litevate-abdominal-pad,SG Litevate Abdominal Pad,"<p>The SG Litevate Abdominal Guard offers advanced groin protection with a unique design that includes rubber padding on the edges for enhanced safety. Built with a high-impact resistant poly protector, it ensures superior protection during intense play. This guard is shaped for optimal comfort and coverage, making it ideal for cricketers seeking both safety and performance.</p>",TeamSG,Protective Gear,Abdominal Guard,,,Size,Youth / White/Red,,,,,SG01AB010009,,,,,,199.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_20146b84-fd9d-4f90-a8dc-a70e4414c324.png?v=1752491367&width=1920,,,,SG Litevate Abdominal Pad,"The SG Litevate Abdominal Guard offers advanced groin protection with a unique design that includes rubber padding on the edges for enhanced safety. Built with a high-impact resistant poly protector, it ensures superior protection during intense play. This guard is shaped for optimal comfort and coverage, making it ideal for cricketers seeking both safety and performance.",,,,,,,,,,,,,,,,,
sg-iball-ball-with-cord,SG iBall (ball with cord),<p>PVC ball with a cord Helps the batsman in practicing and mastering hand eye co-ordination Size: Thigh Circumference: 22.5 CM Quantity: (One) 1 Number</p>,TeamSG,Training Equipment,Ball with Cord,,,Size,22.5 CM,,,,,SG01AC020005,,,,,,319.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitleddesign_77.png?v=1733139144&width=1920,,,,SG iBall (ball with cord),PVC ball with a cord Helps the batsman in practicing and mastering hand eye co-ordination Size: Thigh Circumference: 22.5 CM Quantity: (One) 1 Number,,,,,,,,,,,,,,,,,
sg-umpire-counter,SG Umpire Counter,<p>Helps umpire in keeping track of the Number of balls bowled per over and for total of up to 99 overs Free Size: 0 Quantity: (One) 1 Number</p>,TeamSG,Umpiring Equipment,Umpire Counter,,,Size,0,,,,,SG01AC020008,,,,,,279.0,,,,,https://shop.teamsg.in/cdn/shop/products/IMG_7414-Umpire-Counter.jpg?v=1696580248&width=1920,,,,SG Umpire Counter,Helps umpire in keeping track of the Number of balls bowled per over and for total of up to 99 overs Free Size: 0 Quantity: (One) 1 Number,,,,,,,,,,,,,,,,,
sg-mini-bat,SG Mini Bat,<p>Ideal for souvenirs and to collect autographs Free Size: 0 Quantity: (One) 1 Number</p>,TeamSG,Training Equipment,Mini Bat,,,Size,0,,,,,SG01AC020006,,,,,,,,,,,https://shop.teamsg.in/cdn/shop/products/IMG_7414-Mini-Bat.jpg?v=1696580248&width=1920,,,,SG Mini Bat,Ideal for souvenirs and to collect autographs Free Size: 0 Quantity: (One) 1 Number,,,,,,,,,,,,,,,,,
sg-mini-bat,SG Mini Bat,<p>Ideal for souvenirs and to collect autographsFree Size: 0Quantity: (One) 1 Number</p>,TeamSG,,,,,,,,,,,SG01AC020014,,,,,,259.0,,,,,https://shop.teamsg.in/cdn/shop/products/Mini-Bat_without-sign.jpg?v=1696575443&width=1920,,,,SG Mini Bat,Ideal for souvenirs and to collect autographsFree Size: 0Quantity: (One) 1 Number,,,,,,,,,,,,,,,,,
sg-chevtech-multi-color-cricket-grip-3-pcs,SG Chevtech Multi color Cricket Grip (3 Pcs),<p>Soft feel grip with better shock absorptionType: Bat CareColour And Design May VarySize: Free SizeQuantity:\xa0 (Three) 3 Numbers</p>,TeamSG,,,,,,,,,,,SG01AC020015,,,,,,499.0,,,,,https://shop.teamsg.in/cdn/shop/files/Untitled_design_cbedf00f-4dac-4775-99f0-34e3da8a285b.png?v=1752653065&width=1920,,,,SG Chevtech Multi color Cricket Grip (3 Pcs),Soft feel grip with better shock absorption Type: Bat Care Colour And Design May Vary Size: Free Size Quantity:\xa0 (Three) 3 Numbers,,,,,,,,,,,,,,,,,
